,name,external_id,description,labels,metadata,parent_external_id
0,Hannover,hannover,"Site in Hannover, Germany",['isa95:site'],"{'site': 'Hannover', 'country': 'Germany', 'size': 'md', 'src': 'sap'}",
1,Product,hannover_product,,['isa95:area'],"{'site': 'Hannover', 'src': 'sap', 'type': 'product'}",hannover
2,Raw materials,HPRM137,,['isa95:unit'],"{'cycle time': '3 s', 'site': 'Hannover', 'src': 'sap', 'type': 'raw_materials'}",hannover_product
3,Finished goods,HPFG978,,['isa95:unit'],"{'cycle time': '3 s', 'site': 'Hannover', 'src': 'sap', 'type': 'finished_goods'}",hannover_product
4,Production,hannover_production,,['isa95:area'],"{'site': 'Hannover', 'src': 'sap', 'type': 'production'}",hannover
5,Filling Line 10,hannover_production_fill_10,,['isa95:production_line'],"{'Connections': '3 ~ 400 V, 50-60 Hz', 'Total consumption': 'Depending on filler setup', 'Main breaker': '50 A', 'Supply pressure': '6 bar', 'Total consumption VN': 'Depending on filler setup', 'Consumption (during cleaning)': '50 l/min', 'site': 'Hannover', 'src': 'sap', 'type': 'filling_line'}",hannover_production
6,Chocolate Spray,HPF1CS463,,"['function:coatSpray', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Hannover', 'src': 'sap', 'type': 'chocolate_spray'}",hannover_production_fill_10
7,Wet Topping,HPF1WT265,,"['function:topping', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Hannover', 'src': 'sap', 'type': 'wet_topping'}",hannover_production_fill_10
8,Sleeve Dispensing,HPF1SD585,,"['function:sleeveDispense', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Hannover', 'src': 'sap', 'type': 'sleeve_dispensing'}",hannover_production_fill_10
9,Coding,HPF1C534,,"['function:coding', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Hannover', 'src': 'sap', 'type': 'coding'}",hannover_production_fill_10
10,Wrapping,HPF1W693,,"['function:wrap', 'isa95:unit']","{'Machine type': 'rotary', 'Output, bricks/min': 'up to 50', 'The dosing interval, ml1': '135-240', 'The dosing accuracy, % ': '± 6', 'Block size, mm2': '100x60x35÷40', 'Wrapping material': 'parchment paper, aluminum foil laminate', 'Roll width, mm': '180-210', 'Roll external diameter, mm up to': '400', 'Roll core internal diameter, mm': '60-70', 'Rated power input, kVA': '4,5', 'Voltage, V': '230/400 +-10% AC', 'Frequency, Hz': '50/60', 'Dimensions (L x W x H), mm': '3170 x 1470 x 1540', 'Weight, kg': '1450', 'cycle time': '3 s', 'site': 'Hannover', 'src': 'sap', 'type': 'wrapping'}",hannover_production_fill_10
11,Filling Valves,HPF1FV485,,"['function:fill', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Hannover', 'src': 'sap', 'type': 'filling_valves'}",hannover_production_fill_10
12,Transfer System,HPF1TS185,,"['function:transfer', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Hannover', 'src': 'sap', 'type': 'transfer_system'}",hannover_production_fill_10
