,name,external_id,description,labels,metadata,parent_external_id
0,Houston,houston,"Site in Houston, United States",['isa95:site'],"{'site': 'Houston', 'country': 'United States', 'size': 'sm', 'src': 'sap'}",
1,Product,houston_product,,['isa95:area'],"{'site': 'Houston', 'src': 'sap', 'type': 'product'}",houston
2,Finished goods,HPFG978,,['isa95:unit'],"{'cycle time': '3 s', 'site': 'Houston', 'src': 'sap', 'type': 'finished_goods'}",houston_product
3,Raw materials,HPRM137,,['isa95:unit'],"{'cycle time': '3 s', 'site': 'Houston', 'src': 'sap', 'type': 'raw_materials'}",houston_product
4,Cold Store,houston_cold_store,,['isa95:area'],"{'Max temperature': '-25 degrees', 'Max capability': '4000L', 'site': 'Houston', 'src': 'sap', 'type': 'cold_store'}",houston
5,Receiving & Raw Materials,houston_receiving_and_raw,,['isa95:area'],"{'site': 'Houston', 'src': 'sap', 'type': 'receiving_&_raw_materials'}",houston
6,Dry Storage,houston_receiving_and_raw_dry_storage,,['isa95:storage_zone'],"{'Inventory size': '25x50', 'Temperature': '1-7 degrees', 'site': 'Houston', 'src': 'sap', 'type': 'dry_storage'}",houston_receiving_and_raw
7,Liquid Storage,houston_receiving_and_raw_liquid_storage,,['isa95:storage_zone'],"{'Inventory size': '8000L', 'site': 'Houston', 'src': 'sap', 'type': 'liquid_storage'}",houston_receiving_and_raw
8,Production,houston_production,,['isa95:area'],"{'site': 'Houston', 'src': 'sap', 'type': 'production'}",houston
9,Extrusion Line,houston_production_extrude,,['isa95:production_line'],"{'site': 'Houston', 'src': 'sap', 'type': 'extrusion_line'}",houston_production
10,Hardening Tunnel,HPEHT947,,"['isa95:unit', 'function:hardening']","{'Panel house thickness of polyurethane panels ( mm (inch) )': '125 (4.9)', 'Container house thickness of polyurethane panels ( mm (inch) )': '120 (4.7)', 'cycle time': '3 s', 'site': 'Houston', 'src': 'sap', 'type': 'hardening_tunnel'}",houston_production_extrude
11,Wrapping,HPEW729,,"['isa95:unit', 'function:wrap']","{'Machine type': 'rotary', 'Output, bricks/min': 'up to 50', 'The dosing interval, ml1': '135-240', 'The dosing accuracy, % ': '± 6', 'Block size, mm2': '100x60x35÷40', 'Wrapping material': 'parchment paper, aluminum foil laminate', 'Roll width, mm': '180-210', 'Roll external diameter, mm up to': '400', 'Roll core internal diameter, mm': '60-70', 'Rated power input, kVA': '4,5', 'Voltage, V': '230/400 +-10% AC', 'Frequency, Hz': '50/60', 'Dimensions (L x W x H), mm': '3170 x 1470 x 1540', 'Weight, kg': '1450', 'cycle time': '3 s', 'site': 'Houston', 'src': 'sap', 'type': 'wrapping'}",houston_production_extrude
12,Cartoning,HPEC386,,"['isa95:unit', 'function:carton']","{'Model': 'SA-380CDF', 'Film width': 'Max. 300 mm', 'Box length': '120 - 400 mm', 'Box width': '50 - 200 mm', 'Packing speed': 'max 80 boxes/min', 'Power': '220V 50/60HZ 2.6KW', 'Machine dimensions': '3770x720x1450', 'Machine weight': '600kg', 'cycle time': '3 s', 'site': 'Houston', 'src': 'sap', 'type': 'cartoning'}",houston_production_extrude
13,Worktable,HPEW168,,"['isa95:unit', 'function:worktableTransport']","{'cycle time': '3 s', 'site': 'Houston', 'src': 'sap', 'type': 'worktable'}",houston_production_extrude
14,Tray Tunnel Extruder,HPEWHTTE981,,"['isa95:unit', 'function:tunnelExtrude']","{'No. of sprockets / vertical pitch ( mm (inch) )': '9 / 180 (7)', 'Conveyor pitch ( mm (inch) )': '50 (2)', 'Tray dimension ( mm (inch) )': '300 x 345 (11.8 x 13.6)', 'Total number of trays / inside tunnel': '839/ 802', 'Total installed power (incl. fans) (kW (HP))': '25 (33)', 'cycle time': '3 s', 'site': 'Houston', 'src': 'sap', 'type': 'tray_tunnel_extruder'}",HPEW168
15,Pasteurization and Homogenization,houston_production_pasteur,,['isa95:process_cell'],"{'Function': ' Ice cream batch process mix plant', 'Year of manufacture': ' 1996', 'Capacity': '500 litres/per hour', 'Electrics': ' 380V/3 Phase/50 Hz', 'Overall installed power': '10,7 kW', 'Length': '395 cm', 'Width': '150 cm', 'Height': '210 cm', 'Weight': '2,150 kgs', 'site': 'Houston', 'src': 'sap', 'type': 'pasteurization_and_homogenization'}",houston_production
16,Balance Tank,HPPT241,,"['isa95:unit', 'function:balanceTank']","{'cycle time': '3 s', 'site': 'Houston', 'src': 'sap', 'type': 'balance_tank'}",houston_production_pasteur
17,Plate Heat Exchanger,HPPHE637,,"['isa95:unit', 'function:heatExchange']","{'cycle time': '3 s', 'site': 'Houston', 'src': 'sap', 'type': 'plate_heat_exchanger'}",houston_production_pasteur
18,Pre-Heating and Mixing,houston_production_mix,,['isa95:process_cell'],"{'site': 'Houston', 'src': 'sap', 'type': 'pre-heating_and_mixing'}",houston_production
19,Mix Tank,HPMT243,,"['isa95:unit', 'function:mix']","{'cycle time': '3 s', 'site': 'Houston', 'src': 'sap', 'type': 'mix_tank'}",houston_production_mix
20,Freezing and Ingredient Feeding,houston_production_fri,,"['isa95:process_cell', 'isa95:production_line']","{'site': 'Houston', 'src': 'sap', 'type': 'freezing_and_ingredient_feeding'}",houston_production
21,Continuous Freezer,HPFCF331,,"['isa95:unit', 'function:continuousFreeze']","{'Suction line, outside diameter': '76.1 mm', 'Liquid line, outside diameter': '21.3 mm', 'Hot gas line, outside diameter': '21.3 mm', 'Drain line, outside diameter': '21.3 mm', 'Safety line, outside diameter': '33.7 mm', 'Mix inlet piping, outside diameter': '38.1 mm', 'Ice cream outlet piping,': 'outside', 'diameter': '63.5 mm', 'cycle time': '3 s', 'site': 'Houston', 'src': 'sap', 'type': 'continuous_freezer'}",houston_production_fri
