,name,external_id,description,labels,metadata,parent_external_id
0,Kuala Lumpur,kuala_lumpur,"Site in Kuala Lumpur, Malaysia",['isa95:site'],"{'site': 'Kuala Lumpur', 'country': 'Malaysia', 'size': 'lg', 'src': 'sap'}",
1,Product,kuala_lumpur_product,,['isa95:area'],"{'site': 'Kuala Lumpur', 'src': 'sap', 'type': 'product'}",kuala_lumpur
2,Raw materials,KLPRM137,,['isa95:unit'],"{'cycle time': '3 s', 'site': 'Kuala Lumpur', 'src': 'sap', 'type': 'raw_materials'}",kuala_lumpur_product
3,Finished goods,KLPFG978,,['isa95:unit'],"{'cycle time': '3 s', 'site': 'Kuala Lumpur', 'src': 'sap', 'type': 'finished_goods'}",kuala_lumpur_product
4,Production,kuala_lumpur_production,,['isa95:area'],"{'site': 'Kuala Lumpur', 'src': 'sap', 'type': 'production'}",kuala_lumpur
5,Filling Line G15,kuala_lumpur_production_fill_G15,,['isa95:production_line'],"{'Connections': '3 ~ 400 V, 50-60 Hz', 'Total consumption': 'Depending on filler setup', 'Main breaker': '50 A', 'Supply pressure': '6 bar', 'Total consumption VN': 'Depending on filler setup', 'Consumption (during cleaning)': '50 l/min', 'site': 'Kuala Lumpur', 'src': 'sap', 'type': 'filling_line'}",kuala_lumpur_production
6,Chocolate Spray,KLPFGCS463,,"['function:coatSpray', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Kuala Lumpur', 'src': 'sap', 'type': 'chocolate_spray'}",kuala_lumpur_production_fill_G15
7,Wet Topping,KLPFGWT265,,"['function:topping', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Kuala Lumpur', 'src': 'sap', 'type': 'wet_topping'}",kuala_lumpur_production_fill_G15
8,Sleeve Dispensing,KLPFGSD585,,"['function:sleeveDispense', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Kuala Lumpur', 'src': 'sap', 'type': 'sleeve_dispensing'}",kuala_lumpur_production_fill_G15
9,Coding,KLPFGC534,,"['function:coding', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Kuala Lumpur', 'src': 'sap', 'type': 'coding'}",kuala_lumpur_production_fill_G15
10,Wrapping,KLPFGW693,,"['function:wrap', 'isa95:unit']","{'Machine type': 'rotary', 'Output, bricks/min': 'up to 50', 'The dosing interval, ml1': '135-240', 'The dosing accuracy, % ': '± 6', 'Block size, mm2': '100x60x35÷40', 'Wrapping material': 'parchment paper, aluminum foil laminate', 'Roll width, mm': '180-210', 'Roll external diameter, mm up to': '400', 'Roll core internal diameter, mm': '60-70', 'Rated power input, kVA': '4,5', 'Voltage, V': '230/400 +-10% AC', 'Frequency, Hz': '50/60', 'Dimensions (L x W x H), mm': '3170 x 1470 x 1540', 'Weight, kg': '1450', 'cycle time': '3 s', 'site': 'Kuala Lumpur', 'src': 'sap', 'type': 'wrapping'}",kuala_lumpur_production_fill_G15
11,Filling Valves,KLPFGFV485,,"['function:fill', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Kuala Lumpur', 'src': 'sap', 'type': 'filling_valves'}",kuala_lumpur_production_fill_G15
12,Transfer System,KLPFGTS185,,"['function:transfer', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Kuala Lumpur', 'src': 'sap', 'type': 'transfer_system'}",kuala_lumpur_production_fill_G15
13,Lid Dispensing,KLPFGLD988,,"['function:dispense', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Kuala Lumpur', 'src': 'sap', 'type': 'lid_dispensing'}",kuala_lumpur_production_fill_G15
14,Cone Dispensing,KLPFGCD474,,"['function:dispenseCone', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Kuala Lumpur', 'src': 'sap', 'type': 'cone_dispensing'}",kuala_lumpur_production_fill_G15
15,Crimping,KLPFGC370,,"['function:crimp', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Kuala Lumpur', 'src': 'sap', 'type': 'crimping'}",kuala_lumpur_production_fill_G15
16,Cartoning,KLPFGC927,,"['function:carton', 'isa95:unit']","{'Model': 'SA-380CDF', 'Film width': 'Max. 300 mm', 'Box length': '120 - 400 mm', 'Box width': '50 - 200 mm', 'Packing speed': 'max 80 boxes/min', 'Power': '220V 50/60HZ 2.6KW', 'Machine dimensions': '3770x720x1450', 'Machine weight': '600kg', 'cycle time': '3 s', 'site': 'Kuala Lumpur', 'src': 'sap', 'type': 'cartoning'}",kuala_lumpur_production_fill_G15
17,Dry Topping,KLPFGDT109,,"['function:applyTopping', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Kuala Lumpur', 'src': 'sap', 'type': 'dry_topping'}",kuala_lumpur_production_fill_G15
18,Filling Line O54,kuala_lumpur_production_fill_O54,,['isa95:production_line'],"{'Connections': '3 ~ 400 V, 50-60 Hz', 'Total consumption': 'Depending on filler setup', 'Main breaker': '50 A', 'Supply pressure': '6 bar', 'Total consumption VN': 'Depending on filler setup', 'Consumption (during cleaning)': '50 l/min', 'site': 'Kuala Lumpur', 'src': 'sap', 'type': 'filling_line'}",kuala_lumpur_production
19,Chocolate Spray,KLPFOCS463,,"['function:coatSpray', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Kuala Lumpur', 'src': 'sap', 'type': 'chocolate_spray'}",kuala_lumpur_production_fill_O54
20,Wet Topping,KLPFOWT265,,"['function:topping', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Kuala Lumpur', 'src': 'sap', 'type': 'wet_topping'}",kuala_lumpur_production_fill_O54
21,Sleeve Dispensing,KLPFOSD585,,"['function:sleeveDispense', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Kuala Lumpur', 'src': 'sap', 'type': 'sleeve_dispensing'}",kuala_lumpur_production_fill_O54
22,Coding,KLPFOC534,,"['function:coding', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Kuala Lumpur', 'src': 'sap', 'type': 'coding'}",kuala_lumpur_production_fill_O54
23,Wrapping,KLPFOW693,,"['function:wrap', 'isa95:unit']","{'Machine type': 'rotary', 'Output, bricks/min': 'up to 50', 'The dosing interval, ml1': '135-240', 'The dosing accuracy, % ': '± 6', 'Block size, mm2': '100x60x35÷40', 'Wrapping material': 'parchment paper, aluminum foil laminate', 'Roll width, mm': '180-210', 'Roll external diameter, mm up to': '400', 'Roll core internal diameter, mm': '60-70', 'Rated power input, kVA': '4,5', 'Voltage, V': '230/400 +-10% AC', 'Frequency, Hz': '50/60', 'Dimensions (L x W x H), mm': '3170 x 1470 x 1540', 'Weight, kg': '1450', 'cycle time': '3 s', 'site': 'Kuala Lumpur', 'src': 'sap', 'type': 'wrapping'}",kuala_lumpur_production_fill_O54
24,Filling Valves,KLPFOFV485,,"['function:fill', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Kuala Lumpur', 'src': 'sap', 'type': 'filling_valves'}",kuala_lumpur_production_fill_O54
25,Transfer System,KLPFOTS185,,"['function:transfer', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Kuala Lumpur', 'src': 'sap', 'type': 'transfer_system'}",kuala_lumpur_production_fill_O54
26,Lid Dispensing,KLPFOLD988,,"['function:dispense', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Kuala Lumpur', 'src': 'sap', 'type': 'lid_dispensing'}",kuala_lumpur_production_fill_O54
27,Cone Dispensing,KLPFOCD474,,"['function:dispenseCone', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Kuala Lumpur', 'src': 'sap', 'type': 'cone_dispensing'}",kuala_lumpur_production_fill_O54
28,Crimping,KLPFOC370,,"['function:crimp', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Kuala Lumpur', 'src': 'sap', 'type': 'crimping'}",kuala_lumpur_production_fill_O54
29,Cartoning,KLPFOC927,,"['function:carton', 'isa95:unit']","{'Model': 'SA-380CDF', 'Film width': 'Max. 300 mm', 'Box length': '120 - 400 mm', 'Box width': '50 - 200 mm', 'Packing speed': 'max 80 boxes/min', 'Power': '220V 50/60HZ 2.6KW', 'Machine dimensions': '3770x720x1450', 'Machine weight': '600kg', 'cycle time': '3 s', 'site': 'Kuala Lumpur', 'src': 'sap', 'type': 'cartoning'}",kuala_lumpur_production_fill_O54
30,Dry Topping,KLPFODT109,,"['function:applyTopping', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Kuala Lumpur', 'src': 'sap', 'type': 'dry_topping'}",kuala_lumpur_production_fill_O54
31,Filling Line U98,kuala_lumpur_production_fill_U98,,['isa95:production_line'],"{'Connections': '3 ~ 400 V, 50-60 Hz', 'Total consumption': 'Depending on filler setup', 'Main breaker': '50 A', 'Supply pressure': '6 bar', 'Total consumption VN': 'Depending on filler setup', 'Consumption (during cleaning)': '50 l/min', 'site': 'Kuala Lumpur', 'src': 'sap', 'type': 'filling_line'}",kuala_lumpur_production
32,Chocolate Spray,KLPFUCS463,,"['function:coatSpray', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Kuala Lumpur', 'src': 'sap', 'type': 'chocolate_spray'}",kuala_lumpur_production_fill_U98
33,Wet Topping,KLPFUWT265,,"['function:topping', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Kuala Lumpur', 'src': 'sap', 'type': 'wet_topping'}",kuala_lumpur_production_fill_U98
34,Sleeve Dispensing,KLPFUSD585,,"['function:sleeveDispense', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Kuala Lumpur', 'src': 'sap', 'type': 'sleeve_dispensing'}",kuala_lumpur_production_fill_U98
35,Coding,KLPFUC534,,"['function:coding', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Kuala Lumpur', 'src': 'sap', 'type': 'coding'}",kuala_lumpur_production_fill_U98
