,name,external_id,description,labels,metadata,parent_external_id
0,London,london,"Site in London, England",['isa95:site'],"{'site': 'London', 'country': 'England', 'size': 'md', 'src': 'sap'}",
1,Receiving & Raw Materials,london_receiving_and_raw,,['isa95:area'],"{'site': 'London', 'src': 'sap', 'type': 'receiving_&_raw_materials'}",london
2,Dry Storage,london_receiving_and_raw_dry_storage,,['isa95:storage_zone'],"{'Inventory size': '25x50', 'Temperature': '1-7 degrees', 'site': 'London', 'src': 'sap', 'type': 'dry_storage'}",london_receiving_and_raw
3,Liquid Storage,london_receiving_and_raw_liquid_storage,,['isa95:storage_zone'],"{'Inventory size': '8000L', 'site': 'London', 'src': 'sap', 'type': 'liquid_storage'}",london_receiving_and_raw
4,Cold Store,london_cold_store,,['isa95:area'],"{'Max temperature': '-25 degrees', 'Max capability': '4000L', 'site': 'London', 'src': 'sap', 'type': 'cold_store'}",london
5,Production,london_production,,['isa95:area'],"{'site': 'London', 'src': 'sap', 'type': 'production'}",london
6,Freezing and Ingredient Feeding 10,london_production_fri_10,,"['isa95:production_line', 'isa95:process_cell']","{'site': 'London', 'src': 'sap', 'type': 'freezing_and_ingredient_feeding'}",london_production
7,Ingredient Doser,LPF1D232,,"['isa95:unit', 'function:dosing']","{'Throughput of ingredients:': '10 to 200 litres/hour', 'Product flow:': '100 to 2,000 litres/hour', 'Maximum ingredient size:': '12 mm', 'cycle time': '3 s', 'site': 'London', 'src': 'sap', 'type': 'ingredient_doser'}",london_production_fri_10
8,Ice Cream Feed,LPF1D232_feed,,['isa95:equipment_module'],"{'site': 'London', 'src': 'sap', 'type': 'ice_cream_feed'}",LPF1D232
9,In-line Mixer,LPF1D232_inline_mixer,,['isa95:equipment_module'],"{'site': 'London', 'src': 'sap', 'type': 'in-line_mixer'}",LPF1D232
10,Lamella Pump,LPF1D232_lamella_pump,,['isa95:equipment_module'],"{'site': 'London', 'src': 'sap', 'type': 'lamella_pump'}",LPF1D232
11,Funnel,LPF1D232_funnel,,['isa95:equipment_module'],"{'site': 'London', 'src': 'sap', 'type': 'funnel'}",LPF1D232
12,Continuous Freezer,LPF1CF331,,"['isa95:unit', 'function:continuousFreeze']","{'Suction line, outside diameter': '76.1 mm', 'Liquid line, outside diameter': '21.3 mm', 'Hot gas line, outside diameter': '21.3 mm', 'Drain line, outside diameter': '21.3 mm', 'Safety line, outside diameter': '33.7 mm', 'Mix inlet piping, outside diameter': '38.1 mm', 'Ice cream outlet piping,': 'outside', 'diameter': '63.5 mm', 'cycle time': '3 s', 'site': 'London', 'src': 'sap', 'type': 'continuous_freezer'}",london_production_fri_10
13,Gear Pump 02,LPF1CF331_gear_pump_02,,['isa95:equipment_module'],"{'site': 'London', 'src': 'sap', 'type': 'gear_pump_02'}",LPF1CF331
14,Freezing Cylinder,LPF1CF331_cylinder,,['isa95:equipment_module'],"{'site': 'London', 'src': 'sap', 'type': 'freezing_cylinder'}",LPF1CF331
15,Compressor,LPF1CF331_compressor,,"['isa95:equipment_module', 'function:compressor']","{'Rating': '11bar', 'site': 'London', 'src': 'sap', 'type': 'compressor'}",LPF1CF331
16,Gear Pump 01,LPF1CF331_gear_pump_01,,['isa95:equipment_module'],"{'site': 'London', 'src': 'sap', 'type': 'gear_pump_01'}",LPF1CF331
17,Air Pump,LPF1CF331_air_pump,,['isa95:equipment_module'],"{'site': 'London', 'src': 'sap', 'type': 'air_pump'}",LPF1CF331
18,Freezing and Ingredient Feeding 20,london_production_fri_20,,"['isa95:production_line', 'isa95:process_cell']","{'site': 'London', 'src': 'sap', 'type': 'freezing_and_ingredient_feeding'}",london_production
19,Ingredient Doser,LPF2D232,,"['isa95:unit', 'function:dosing']","{'Throughput of ingredients:': '10 to 200 litres/hour', 'Product flow:': '100 to 2,000 litres/hour', 'Maximum ingredient size:': '12 mm', 'cycle time': '3 s', 'site': 'London', 'src': 'sap', 'type': 'ingredient_doser'}",london_production_fri_20
20,Ice Cream Feed,LPF2D232_feed,,['isa95:equipment_module'],"{'site': 'London', 'src': 'sap', 'type': 'ice_cream_feed'}",LPF2D232
21,In-line Mixer,LPF2D232_inline_mixer,,['isa95:equipment_module'],"{'site': 'London', 'src': 'sap', 'type': 'in-line_mixer'}",LPF2D232
