,name,external_id,description,labels,metadata,parent_external_id
0,Marseille,marseille,"Site in Marseille, France",['isa95:site'],"{'site': 'Marseille', 'country': 'France', 'size': 'md', 'src': 'sap'}",
1,Cold Store,marseille_cold_store,,['isa95:area'],"{'Max temperature': '-25 degrees', 'Max capability': '4000L', 'site': 'Marseille', 'src': 'sap', 'type': 'cold_store'}",marseille
2,Production,marseille_production,,['isa95:area'],"{'site': 'Marseille', 'src': 'sap', 'type': 'production'}",marseille
3,Pre-Heating and Mixing 10,marseille_production_mix_10,,['isa95:process_cell'],"{'site': 'Marseille', 'src': 'sap', 'type': 'pre-heating_and_mixing'}",marseille_production
4,Mix Tank,MPM1T243,,"['function:mix', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Marseille', 'src': 'sap', 'type': 'mix_tank'}",marseille_production_mix_10
5,Pre-Heating and Mixing 20,marseille_production_mix_20,,['isa95:process_cell'],"{'site': 'Marseille', 'src': 'sap', 'type': 'pre-heating_and_mixing'}",marseille_production
6,Mix Tank,MPM2T243,,"['function:mix', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Marseille', 'src': 'sap', 'type': 'mix_tank'}",marseille_production_mix_20
7,Pasteurization and Homogenization 10,marseille_production_pasteur_10,,['isa95:process_cell'],"{'Function': ' Ice cream batch process mix plant', 'Year of manufacture': ' 1996', 'Capacity': '500 litres/per hour', 'Electrics': ' 380V/3 Phase/50 Hz', 'Overall installed power': '10,7 kW', 'Length': '395 cm', 'Width': '150 cm', 'Height': '210 cm', 'Weight': '2,150 kgs', 'site': 'Marseille', 'src': 'sap', 'type': 'pasteurization_and_homogenization'}",marseille_production
8,Balance Tank,MPP1T241,,"['isa95:unit', 'function:balanceTank']","{'cycle time': '3 s', 'site': 'Marseille', 'src': 'sap', 'type': 'balance_tank'}",marseille_production_pasteur_10
9,Plate Heat Exchanger,MPP1HE637,,"['function:heatExchange', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Marseille', 'src': 'sap', 'type': 'plate_heat_exchanger'}",marseille_production_pasteur_10
10,Pasteurization and Homogenization 20,marseille_production_pasteur_20,,['isa95:process_cell'],"{'Function': ' Ice cream batch process mix plant', 'Year of manufacture': ' 1996', 'Capacity': '500 litres/per hour', 'Electrics': ' 380V/3 Phase/50 Hz', 'Overall installed power': '10,7 kW', 'Length': '395 cm', 'Width': '150 cm', 'Height': '210 cm', 'Weight': '2,150 kgs', 'site': 'Marseille', 'src': 'sap', 'type': 'pasteurization_and_homogenization'}",marseille_production
11,Balance Tank,MPP2T241,,"['isa95:unit', 'function:balanceTank']","{'cycle time': '3 s', 'site': 'Marseille', 'src': 'sap', 'type': 'balance_tank'}",marseille_production_pasteur_20
12,Plate Heat Exchanger,MPP2HE637,,"['function:heatExchange', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Marseille', 'src': 'sap', 'type': 'plate_heat_exchanger'}",marseille_production_pasteur_20
13,Moulding Line 10,marseille_production_mould_10,,['isa95:production_line'],"{'Mould strip indexing': '2.9 kW (3.8 HP)', 'Extractor index servo': '2.9 kW (3.8 HP)', 'Extraction of products': '1.9 kW (2.5 HP)', 'Servo chocolate dip': '1.9 kW (2.5 HP)', 'Lay-down servo': '1.9 kW (2.5 HP)', 'Total electrical consumption': '20 KW', 'Brine internal circulation': '7.5 KW', 'Brine external circulation': '11.0 KW', 'Optional: brine circulation pump': '22.0 KW', 'Power voltage standard': '3 x 400 V', 'Change of voltage ≤': '10 %', 'Typical operation load': '180 Amps', 'Main circuit breaker': '250 Amps', 'Recommended supply breaker': '300 Amps', 'site': 'Marseille', 'src': 'sap', 'type': 'moulding_line'}",marseille_production
14,Volumetric Filler,MPM1VF765,,"['isa95:unit', 'function:volumetricFill']","{'cycle time': '3 s', 'site': 'Marseille', 'src': 'sap', 'type': 'volumetric_filler'}",marseille_production_mould_10
15,Cartoning,MPM1C561,,"['isa95:unit', 'function:carton']","{'Model': 'SA-380CDF', 'Film width': 'Max. 300 mm', 'Box length': '120 - 400 mm', 'Box width': '50 - 200 mm', 'Packing speed': 'max 80 boxes/min', 'Power': '220V 50/60HZ 2.6KW', 'Machine dimensions': '3770x720x1450', 'Machine weight': '600kg', 'cycle time': '3 s', 'site': 'Marseille', 'src': 'sap', 'type': 'cartoning'}",marseille_production_mould_10
16,Wrapping,MPM1W541,,"['function:wrap', 'isa95:unit']","{'Machine type': 'rotary', 'Output, bricks/min': 'up to 50', 'The dosing interval, ml1': '135-240', 'The dosing accuracy, % ': '± 6', 'Block size, mm2': '100x60x35÷40', 'Wrapping material': 'parchment paper, aluminum foil laminate', 'Roll width, mm': '180-210', 'Roll external diameter, mm up to': '400', 'Roll core internal diameter, mm': '60-70', 'Rated power input, kVA': '4,5', 'Voltage, V': '230/400 +-10% AC', 'Frequency, Hz': '50/60', 'Dimensions (L x W x H), mm': '3170 x 1470 x 1540', 'Weight, kg': '1450', 'cycle time': '3 s', 'site': 'Marseille', 'src': 'sap', 'type': 'wrapping'}",marseille_production_mould_10
17,Chocolate Coating,MPM1C079,,"['isa95:unit', 'function:coat']","{'cycle time': '3 s', 'site': 'Marseille', 'src': 'sap', 'type': 'chocolate_coating'}",marseille_production_mould_10
18,"Extractor, Dipping and Lay-off",MPM1E012,,"['isa95:unit', 'function:extractDryLayoff']","{'cycle time': '3 s', 'site': 'Marseille', 'src': 'sap', 'type': 'extractor,_dipping_and_lay-off'}",marseille_production_mould_10
19,"Main Drive, Indexing Chain Conveyor",MPM1D584,,"['function:transportConveyor', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Marseille', 'src': 'sap', 'type': 'main_drive,_indexing_chain_conveyor'}",marseille_production_mould_10
20,Stick Inserter,MPM1SI664,,"['isa95:unit', 'function:insertStick']","{'cycle time': '3 s', 'site': 'Marseille', 'src': 'sap', 'type': 'stick_inserter'}",marseille_production_mould_10
21,Defroster System,MPM1DS552,,"['function:defrost', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Marseille', 'src': 'sap', 'type': 'defroster_system'}",marseille_production_mould_10
22,Brine Tank,MPM1BT115,,"['function:brineStore', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Marseille', 'src': 'sap', 'type': 'brine_tank'}",marseille_production_mould_10
23,Brine Flow System,MPM1BFS561,,"['function:brineTransport', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Marseille', 'src': 'sap', 'type': 'brine_flow_system'}",marseille_production_mould_10
24,Moulding Line 20,marseille_production_mould_20,,['isa95:production_line'],"{'Mould strip indexing': '2.9 kW (3.8 HP)', 'Extractor index servo': '2.9 kW (3.8 HP)', 'Extraction of products': '1.9 kW (2.5 HP)', 'Servo chocolate dip': '1.9 kW (2.5 HP)', 'Lay-down servo': '1.9 kW (2.5 HP)', 'Total electrical consumption': '20 KW', 'Brine internal circulation': '7.5 KW', 'Brine external circulation': '11.0 KW', 'Optional: brine circulation pump': '22.0 KW', 'Power voltage standard': '3 x 400 V', 'Change of voltage ≤': '10 %', 'Typical operation load': '180 Amps', 'Main circuit breaker': '250 Amps', 'Recommended supply breaker': '300 Amps', 'site': 'Marseille', 'src': 'sap', 'type': 'moulding_line'}",marseille_production
25,Volumetric Filler,MPM2VF765,,"['isa95:unit', 'function:volumetricFill']","{'cycle time': '3 s', 'site': 'Marseille', 'src': 'sap', 'type': 'volumetric_filler'}",marseille_production_mould_20
26,Cartoning,MPM2C561,,"['isa95:unit', 'function:carton']","{'Model': 'SA-380CDF', 'Film width': 'Max. 300 mm', 'Box length': '120 - 400 mm', 'Box width': '50 - 200 mm', 'Packing speed': 'max 80 boxes/min', 'Power': '220V 50/60HZ 2.6KW', 'Machine dimensions': '3770x720x1450', 'Machine weight': '600kg', 'cycle time': '3 s', 'site': 'Marseille', 'src': 'sap', 'type': 'cartoning'}",marseille_production_mould_20
