,name,external_id,description,labels,metadata,parent_external_id
0,Nuremberg,nuremberg,"Site in Nuremberg, Germany",['isa95:site'],"{'site': 'Nuremberg', 'country': 'Germany', 'size': 'lg', 'src': 'sap'}",
1,Product,nuremberg_product,,['isa95:area'],"{'site': 'Nuremberg', 'src': 'sap', 'type': 'product'}",nuremberg
2,Raw materials,NPRM137,,['isa95:unit'],"{'cycle time': '3 s', 'site': 'Nuremberg', 'src': 'sap', 'type': 'raw_materials'}",nuremberg_product
3,Finished goods,NPFG978,,['isa95:unit'],"{'cycle time': '3 s', 'site': 'Nuremberg', 'src': 'sap', 'type': 'finished_goods'}",nuremberg_product
4,Cold Store,nuremberg_cold_store,,['isa95:area'],"{'Max temperature': '-25 degrees', 'Max capability': '4000L', 'site': 'Nuremberg', 'src': 'sap', 'type': 'cold_store'}",nuremberg
5,Receiving & Raw Materials,nuremberg_receiving_and_raw,,['isa95:area'],"{'site': 'Nuremberg', 'src': 'sap', 'type': 'receiving_&_raw_materials'}",nuremberg
6,Liquid Storage,nuremberg_receiving_and_raw_liquid_storage,,['isa95:storage_zone'],"{'Inventory size': '8000L', 'site': 'Nuremberg', 'src': 'sap', 'type': 'liquid_storage'}",nuremberg_receiving_and_raw
7,Dry Storage,nuremberg_receiving_and_raw_dry_storage,,['isa95:storage_zone'],"{'Inventory size': '25x50', 'Temperature': '1-7 degrees', 'site': 'Nuremberg', 'src': 'sap', 'type': 'dry_storage'}",nuremberg_receiving_and_raw
8,Production,nuremberg_production,,['isa95:area'],"{'site': 'Nuremberg', 'src': 'sap', 'type': 'production'}",nuremberg
9,Extrusion Line A46,nuremberg_production_extrude_A46,,['isa95:production_line'],"{'site': 'Nuremberg', 'src': 'sap', 'type': 'extrusion_line'}",nuremberg_production
10,Hardening Tunnel,NPEAHT947,,"['function:hardening', 'isa95:unit']","{'Panel house thickness of polyurethane panels ( mm (inch) )': '125 (4.9)', 'Container house thickness of polyurethane panels ( mm (inch) )': '120 (4.7)', 'cycle time': '3 s', 'site': 'Nuremberg', 'src': 'sap', 'type': 'hardening_tunnel'}",nuremberg_production_extrude_A46
11,Cartoning,NPEAC386,,"['function:carton', 'isa95:unit']","{'Model': 'SA-380CDF', 'Film width': 'Max. 300 mm', 'Box length': '120 - 400 mm', 'Box width': '50 - 200 mm', 'Packing speed': 'max 80 boxes/min', 'Power': '220V 50/60HZ 2.6KW', 'Machine dimensions': '3770x720x1450', 'Machine weight': '600kg', 'cycle time': '3 s', 'site': 'Nuremberg', 'src': 'sap', 'type': 'cartoning'}",nuremberg_production_extrude_A46
12,Worktable,NPEAW168,,"['function:worktableTransport', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Nuremberg', 'src': 'sap', 'type': 'worktable'}",nuremberg_production_extrude_A46
13,Tray Tunnel Extruder,NPEAWNTTE981,,"['function:tunnelExtrude', 'isa95:unit']","{'No. of sprockets / vertical pitch ( mm (inch) )': '9 / 180 (7)', 'Conveyor pitch ( mm (inch) )': '50 (2)', 'Tray dimension ( mm (inch) )': '300 x 345 (11.8 x 13.6)', 'Total number of trays / inside tunnel': '839/ 802', 'Total installed power (incl. fans) (kW (HP))': '25 (33)', 'cycle time': '3 s', 'site': 'Nuremberg', 'src': 'sap', 'type': 'tray_tunnel_extruder'}",NPEAW168
14,Wrapping,NPEAW729,,"['isa95:unit', 'function:wrap']","{'Machine type': 'rotary', 'Output, bricks/min': 'up to 50', 'The dosing interval, ml1': '135-240', 'The dosing accuracy, % ': '± 6', 'Block size, mm2': '100x60x35÷40', 'Wrapping material': 'parchment paper, aluminum foil laminate', 'Roll width, mm': '180-210', 'Roll external diameter, mm up to': '400', 'Roll core internal diameter, mm': '60-70', 'Rated power input, kVA': '4,5', 'Voltage, V': '230/400 +-10% AC', 'Frequency, Hz': '50/60', 'Dimensions (L x W x H), mm': '3170 x 1470 x 1540', 'Weight, kg': '1450', 'cycle time': '3 s', 'site': 'Nuremberg', 'src': 'sap', 'type': 'wrapping'}",nuremberg_production_extrude_A46
