,name,external_id,description,labels,metadata,parent_external_id
0,Oslo,oslo,"Site in Oslo, Norway",['isa95:site'],"{'site': 'Oslo', 'country': 'Norway', 'size': 'sm', 'src': 'sap'}",
1,Product,oslo_product,,['isa95:area'],"{'site': 'Oslo', 'src': 'sap', 'type': 'product'}",oslo
2,Finished goods,OPFG978,,['isa95:unit'],"{'cycle time': '3 s', 'site': 'Oslo', 'src': 'sap', 'type': 'finished_goods'}",oslo_product
3,Raw materials,OPRM137,,['isa95:unit'],"{'cycle time': '3 s', 'site': 'Oslo', 'src': 'sap', 'type': 'raw_materials'}",oslo_product
4,Cold Store,oslo_cold_store,,['isa95:area'],"{'Max temperature': '-25 degrees', 'Max capability': '4000L', 'site': 'Oslo', 'src': 'sap', 'type': 'cold_store'}",oslo
5,Receiving & Raw Materials,oslo_receiving_and_raw,,['isa95:area'],"{'site': 'Oslo', 'src': 'sap', 'type': 'receiving_&_raw_materials'}",oslo
6,Dry Storage,oslo_receiving_and_raw_dry_storage,,['isa95:storage_zone'],"{'Inventory size': '25x50', 'Temperature': '1-7 degrees', 'site': 'Oslo', 'src': 'sap', 'type': 'dry_storage'}",oslo_receiving_and_raw
7,Liquid Storage,oslo_receiving_and_raw_liquid_storage,,['isa95:storage_zone'],"{'Inventory size': '8000L', 'site': 'Oslo', 'src': 'sap', 'type': 'liquid_storage'}",oslo_receiving_and_raw
8,Production,oslo_production,,['isa95:area'],"{'site': 'Oslo', 'src': 'sap', 'type': 'production'}",oslo
9,Extrusion Line,oslo_production_extrude,,['isa95:production_line'],"{'site': 'Oslo', 'src': 'sap', 'type': 'extrusion_line'}",oslo_production
10,Hardening Tunnel,OPEHT947,,"['isa95:unit', 'function:hardening']","{'Panel house thickness of polyurethane panels ( mm (inch) )': '125 (4.9)', 'Container house thickness of polyurethane panels ( mm (inch) )': '120 (4.7)', 'cycle time': '3 s', 'site': 'Oslo', 'src': 'sap', 'type': 'hardening_tunnel'}",oslo_production_extrude
11,Wrapping,OPEW729,,"['isa95:unit', 'function:wrap']","{'Machine type': 'rotary', 'Output, bricks/min': 'up to 50', 'The dosing interval, ml1': '135-240', 'The dosing accuracy, % ': '± 6', 'Block size, mm2': '100x60x35÷40', 'Wrapping material': 'parchment paper, aluminum foil laminate', 'Roll width, mm': '180-210', 'Roll external diameter, mm up to': '400', 'Roll core internal diameter, mm': '60-70', 'Rated power input, kVA': '4,5', 'Voltage, V': '230/400 +-10% AC', 'Frequency, Hz': '50/60', 'Dimensions (L x W x H), mm': '3170 x 1470 x 1540', 'Weight, kg': '1450', 'cycle time': '3 s', 'site': 'Oslo', 'src': 'sap', 'type': 'wrapping'}",oslo_production_extrude
12,Cartoning,OPEC386,,"['isa95:unit', 'function:carton']","{'Model': 'SA-380CDF', 'Film width': 'Max. 300 mm', 'Box length': '120 - 400 mm', 'Box width': '50 - 200 mm', 'Packing speed': 'max 80 boxes/min', 'Power': '220V 50/60HZ 2.6KW', 'Machine dimensions': '3770x720x1450', 'Machine weight': '600kg', 'cycle time': '3 s', 'site': 'Oslo', 'src': 'sap', 'type': 'cartoning'}",oslo_production_extrude
13,Worktable,OPEW168,,"['isa95:unit', 'function:worktableTransport']","{'cycle time': '3 s', 'site': 'Oslo', 'src': 'sap', 'type': 'worktable'}",oslo_production_extrude
14,Tray Tunnel Extruder,OPEWOTTE981,,"['isa95:unit', 'function:tunnelExtrude']","{'No. of sprockets / vertical pitch ( mm (inch) )': '9 / 180 (7)', 'Conveyor pitch ( mm (inch) )': '50 (2)', 'Tray dimension ( mm (inch) )': '300 x 345 (11.8 x 13.6)', 'Total number of trays / inside tunnel': '839/ 802', 'Total installed power (incl. fans) (kW (HP))': '25 (33)', 'cycle time': '3 s', 'site': 'Oslo', 'src': 'sap', 'type': 'tray_tunnel_extruder'}",OPEW168
15,Pasteurization and Homogenization,oslo_production_pasteur,,['isa95:process_cell'],"{'Function': ' Ice cream batch process mix plant', 'Year of manufacture': ' 1996', 'Capacity': '500 litres/per hour', 'Electrics': ' 380V/3 Phase/50 Hz', 'Overall installed power': '10,7 kW', 'Length': '395 cm', 'Width': '150 cm', 'Height': '210 cm', 'Weight': '2,150 kgs', 'site': 'Oslo', 'src': 'sap', 'type': 'pasteurization_and_homogenization'}",oslo_production
16,Balance Tank,OPPT241,,"['isa95:unit', 'function:balanceTank']","{'cycle time': '3 s', 'site': 'Oslo', 'src': 'sap', 'type': 'balance_tank'}",oslo_production_pasteur
17,Plate Heat Exchanger,OPPHE637,,"['isa95:unit', 'function:heatExchange']","{'cycle time': '3 s', 'site': 'Oslo', 'src': 'sap', 'type': 'plate_heat_exchanger'}",oslo_production_pasteur
18,Pre-Heating and Mixing,oslo_production_mix,,['isa95:process_cell'],"{'site': 'Oslo', 'src': 'sap', 'type': 'pre-heating_and_mixing'}",oslo_production
19,Mix Tank,OPMT243,,"['isa95:unit', 'function:mix']","{'cycle time': '3 s', 'site': 'Oslo', 'src': 'sap', 'type': 'mix_tank'}",oslo_production_mix
20,Freezing and Ingredient Feeding,oslo_production_fri,,"['isa95:process_cell', 'isa95:production_line']","{'site': 'Oslo', 'src': 'sap', 'type': 'freezing_and_ingredient_feeding'}",oslo_production
21,Continuous Freezer,OPFCF331,,"['isa95:unit', 'function:continuousFreeze']","{'Suction line, outside diameter': '76.1 mm', 'Liquid line, outside diameter': '21.3 mm', 'Hot gas line, outside diameter': '21.3 mm', 'Drain line, outside diameter': '21.3 mm', 'Safety line, outside diameter': '33.7 mm', 'Mix inlet piping, outside diameter': '38.1 mm', 'Ice cream outlet piping,': 'outside', 'diameter': '63.5 mm', 'cycle time': '3 s', 'site': 'Oslo', 'src': 'sap', 'type': 'continuous_freezer'}",oslo_production_fri
22,Gear Pump 01,OPFCF331_gear_pump_01,,['isa95:equipment_module'],"{'site': 'Oslo', 'src': 'sap', 'type': 'gear_pump_01'}",OPFCF331
23,Air Pump,OPFCF331_air_pump,,['isa95:equipment_module'],"{'site': 'Oslo', 'src': 'sap', 'type': 'air_pump'}",OPFCF331
24,Freezing Cylinder,OPFCF331_cylinder,,['isa95:equipment_module'],"{'site': 'Oslo', 'src': 'sap', 'type': 'freezing_cylinder'}",OPFCF331
25,Compressor,OPFCF331_compressor,,"['isa95:equipment_module', 'function:compressor']","{'Rating': '11bar', 'site': 'Oslo', 'src': 'sap', 'type': 'compressor'}",OPFCF331
26,Gear Pump 02,OPFCF331_gear_pump_02,,['isa95:equipment_module'],"{'site': 'Oslo', 'src': 'sap', 'type': 'gear_pump_02'}",OPFCF331
27,Ingredient Doser,OPFD232,,"['isa95:unit', 'function:dosing']","{'Throughput of ingredients:': '10 to 200 litres/hour', 'Product flow:': '100 to 2,000 litres/hour', 'Maximum ingredient size:': '12 mm', 'cycle time': '3 s', 'site': 'Oslo', 'src': 'sap', 'type': 'ingredient_doser'}",oslo_production_fri
28,Lamella Pump,OPFD232_lamella_pump,,['isa95:equipment_module'],"{'site': 'Oslo', 'src': 'sap', 'type': 'lamella_pump'}",OPFD232
29,In-line Mixer,OPFD232_inline_mixer,,['isa95:equipment_module'],"{'site': 'Oslo', 'src': 'sap', 'type': 'in-line_mixer'}",OPFD232
30,Funnel,OPFD232_funnel,,['isa95:equipment_module'],"{'site': 'Oslo', 'src': 'sap', 'type': 'funnel'}",OPFD232
31,Ice Cream Feed,OPFD232_feed,,['isa95:equipment_module'],"{'site': 'Oslo', 'src': 'sap', 'type': 'ice_cream_feed'}",OPFD232
32,Filling Line,oslo_production_fill,,['isa95:production_line'],"{'Connections': '3 ~ 400 V, 50-60 Hz', 'Total consumption': 'Depending on filler setup', 'Main breaker': '50 A', 'Supply pressure': '6 bar', 'Total consumption VN': 'Depending on filler setup', 'Consumption (during cleaning)': '50 l/min', 'site': 'Oslo', 'src': 'sap', 'type': 'filling_line'}",oslo_production
33,Chocolate Spray,OPFCS463,,"['isa95:unit', 'function:coatSpray']","{'cycle time': '3 s', 'site': 'Oslo', 'src': 'sap', 'type': 'chocolate_spray'}",oslo_production_fill
34,Wet Topping,OPFWT265,,"['isa95:unit', 'function:topping']","{'cycle time': '3 s', 'site': 'Oslo', 'src': 'sap', 'type': 'wet_topping'}",oslo_production_fill
35,Wrapping,OPFW693,,"['isa95:unit', 'function:wrap']","{'Machine type': 'rotary', 'Output, bricks/min': 'up to 50', 'The dosing interval, ml1': '135-240', 'The dosing accuracy, % ': '± 6', 'Block size, mm2': '100x60x35÷40', 'Wrapping material': 'parchment paper, aluminum foil laminate', 'Roll width, mm': '180-210', 'Roll external diameter, mm up to': '400', 'Roll core internal diameter, mm': '60-70', 'Rated power input, kVA': '4,5', 'Voltage, V': '230/400 +-10% AC', 'Frequency, Hz': '50/60', 'Dimensions (L x W x H), mm': '3170 x 1470 x 1540', 'Weight, kg': '1450', 'cycle time': '3 s', 'site': 'Oslo', 'src': 'sap', 'type': 'wrapping'}",oslo_production_fill
36,Cone Dispensing,OPFCD474,,"['function:dispenseCone', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Oslo', 'src': 'sap', 'type': 'cone_dispensing'}",oslo_production_fill
37,Filling Valves,OPFFV485,,"['isa95:unit', 'function:fill']","{'cycle time': '3 s', 'site': 'Oslo', 'src': 'sap', 'type': 'filling_valves'}",oslo_production_fill
38,Dry Topping,OPFDT109,,"['function:applyTopping', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Oslo', 'src': 'sap', 'type': 'dry_topping'}",oslo_production_fill
39,Transfer System,OPFTS185,,"['isa95:unit', 'function:transfer']","{'cycle time': '3 s', 'site': 'Oslo', 'src': 'sap', 'type': 'transfer_system'}",oslo_production_fill
40,Sleeve Dispensing,OPFSD585,,"['function:sleeveDispense', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Oslo', 'src': 'sap', 'type': 'sleeve_dispensing'}",oslo_production_fill
41,Lid Dispensing,OPFLD988,,"['isa95:unit', 'function:dispense']","{'cycle time': '3 s', 'site': 'Oslo', 'src': 'sap', 'type': 'lid_dispensing'}",oslo_production_fill
42,Crimping,OPFC370,,"['isa95:unit', 'function:crimp']","{'cycle time': '3 s', 'site': 'Oslo', 'src': 'sap', 'type': 'crimping'}",oslo_production_fill
43,Coding,OPFC534,,"['isa95:unit', 'function:coding']","{'cycle time': '3 s', 'site': 'Oslo', 'src': 'sap', 'type': 'coding'}",oslo_production_fill
44,Cartoning,OPFC927,,"['isa95:unit', 'function:carton']","{'Model': 'SA-380CDF', 'Film width': 'Max. 300 mm', 'Box length': '120 - 400 mm', 'Box width': '50 - 200 mm', 'Packing speed': 'max 80 boxes/min', 'Power': '220V 50/60HZ 2.6KW', 'Machine dimensions': '3770x720x1450', 'Machine weight': '600kg', 'cycle time': '3 s', 'site': 'Oslo', 'src': 'sap', 'type': 'cartoning'}",oslo_production_fill
45,Aging,oslo_production_age,,['isa95:process_cell'],"{'site': 'Oslo', 'src': 'sap', 'type': 'aging'}",oslo_production
46,Aging Tank,OPAT812,,"['function:aging', 'isa95:unit']","{'Function': 'Ageing Vat', 'Capacity': '2,400 Litres', 'Year of manufacture': '2012', 'material': 'Stainless steel', 'Diameter': '170 cms', 'Height': '210 cms', 'Weight': '500 kgs', 'cycle time': '3 s', 'site': 'Oslo', 'src': 'sap', 'type': 'aging_tank'}",oslo_production_age
47,Moulding Line,oslo_production_mould,,['isa95:production_line'],"{'Mould strip indexing': '2.9 kW (3.8 HP)', 'Extractor index servo': '2.9 kW (3.8 HP)', 'Extraction of products': '1.9 kW (2.5 HP)', 'Servo chocolate dip': '1.9 kW (2.5 HP)', 'Lay-down servo': '1.9 kW (2.5 HP)', 'Total electrical consumption': '20 KW', 'Brine internal circulation': '7.5 KW', 'Brine external circulation': '11.0 KW', 'Optional: brine circulation pump': '22.0 KW', 'Power voltage standard': '3 x 400 V', 'Change of voltage ≤': '10 %', 'Typical operation load': '180 Amps', 'Main circuit breaker': '250 Amps', 'Recommended supply breaker': '300 Amps', 'site': 'Oslo', 'src': 'sap', 'type': 'moulding_line'}",oslo_production
