,name,external_id,description,labels,metadata,parent_external_id
0,Rotterdam,rotterdam,"Site in Rotterdam, Netherlands",['isa95:site'],"{'site': 'Rotterdam', 'country': 'Netherlands', 'size': 'lg', 'src': 'sap'}",
1,Product,rotterdam_product,,['isa95:area'],"{'site': 'Rotterdam', 'src': 'sap', 'type': 'product'}",rotterdam
2,Raw materials,RPRM137,,['isa95:unit'],"{'cycle time': '3 s', 'site': 'Rotterdam', 'src': 'sap', 'type': 'raw_materials'}",rotterdam_product
3,Finished goods,RPFG978,,['isa95:unit'],"{'cycle time': '3 s', 'site': 'Rotterdam', 'src': 'sap', 'type': 'finished_goods'}",rotterdam_product
4,Cold Store,rotterdam_cold_store,,['isa95:area'],"{'Max temperature': '-25 degrees', 'Max capability': '4000L', 'site': 'Rotterdam', 'src': 'sap', 'type': 'cold_store'}",rotterdam
5,Receiving & Raw Materials,rotterdam_receiving_and_raw,,['isa95:area'],"{'site': 'Rotterdam', 'src': 'sap', 'type': 'receiving_&_raw_materials'}",rotterdam
6,Liquid Storage,rotterdam_receiving_and_raw_liquid_storage,,['isa95:storage_zone'],"{'Inventory size': '8000L', 'site': 'Rotterdam', 'src': 'sap', 'type': 'liquid_storage'}",rotterdam_receiving_and_raw
7,Dry Storage,rotterdam_receiving_and_raw_dry_storage,,['isa95:storage_zone'],"{'Inventory size': '25x50', 'Temperature': '1-7 degrees', 'site': 'Rotterdam', 'src': 'sap', 'type': 'dry_storage'}",rotterdam_receiving_and_raw
8,Production,rotterdam_production,,['isa95:area'],"{'site': 'Rotterdam', 'src': 'sap', 'type': 'production'}",rotterdam
9,Extrusion Line C56,rotterdam_production_extrude_C56,,['isa95:production_line'],"{'site': 'Rotterdam', 'src': 'sap', 'type': 'extrusion_line'}",rotterdam_production
10,Hardening Tunnel,RPECHT947,,"['function:hardening', 'isa95:unit']","{'Panel house thickness of polyurethane panels ( mm (inch) )': '125 (4.9)', 'Container house thickness of polyurethane panels ( mm (inch) )': '120 (4.7)', 'cycle time': '3 s', 'site': 'Rotterdam', 'src': 'sap', 'type': 'hardening_tunnel'}",rotterdam_production_extrude_C56
11,Cartoning,RPECC386,,"['function:carton', 'isa95:unit']","{'Model': 'SA-380CDF', 'Film width': 'Max. 300 mm', 'Box length': '120 - 400 mm', 'Box width': '50 - 200 mm', 'Packing speed': 'max 80 boxes/min', 'Power': '220V 50/60HZ 2.6KW', 'Machine dimensions': '3770x720x1450', 'Machine weight': '600kg', 'cycle time': '3 s', 'site': 'Rotterdam', 'src': 'sap', 'type': 'cartoning'}",rotterdam_production_extrude_C56
12,Worktable,RPECW168,,"['function:worktableTransport', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Rotterdam', 'src': 'sap', 'type': 'worktable'}",rotterdam_production_extrude_C56
13,Tray Tunnel Extruder,RPECWRTTE981,,"['function:tunnelExtrude', 'isa95:unit']","{'No. of sprockets / vertical pitch ( mm (inch) )': '9 / 180 (7)', 'Conveyor pitch ( mm (inch) )': '50 (2)', 'Tray dimension ( mm (inch) )': '300 x 345 (11.8 x 13.6)', 'Total number of trays / inside tunnel': '839/ 802', 'Total installed power (incl. fans) (kW (HP))': '25 (33)', 'cycle time': '3 s', 'site': 'Rotterdam', 'src': 'sap', 'type': 'tray_tunnel_extruder'}",RPECW168
14,Wrapping,RPECW729,,"['isa95:unit', 'function:wrap']","{'Machine type': 'rotary', 'Output, bricks/min': 'up to 50', 'The dosing interval, ml1': '135-240', 'The dosing accuracy, % ': '± 6', 'Block size, mm2': '100x60x35÷40', 'Wrapping material': 'parchment paper, aluminum foil laminate', 'Roll width, mm': '180-210', 'Roll external diameter, mm up to': '400', 'Roll core internal diameter, mm': '60-70', 'Rated power input, kVA': '4,5', 'Voltage, V': '230/400 +-10% AC', 'Frequency, Hz': '50/60', 'Dimensions (L x W x H), mm': '3170 x 1470 x 1540', 'Weight, kg': '1450', 'cycle time': '3 s', 'site': 'Rotterdam', 'src': 'sap', 'type': 'wrapping'}",rotterdam_production_extrude_C56
15,Extrusion Line H94,rotterdam_production_extrude_H94,,['isa95:production_line'],"{'site': 'Rotterdam', 'src': 'sap', 'type': 'extrusion_line'}",rotterdam_production
