,name,external_id,description,labels,metadata,parent_external_id
0,Sao Paulo,sao_paulo,"Site in Sao Paulo, Brazil",['isa95:site'],"{'site': 'Sao Paulo', 'country': 'Brazil', 'size': 'sm', 'src': 'sap'}",
1,Product,sao_paulo_product,,['isa95:area'],"{'site': 'Sao Paulo', 'src': 'sap', 'type': 'product'}",sao_paulo
2,Raw materials,SPPRM137,,['isa95:unit'],"{'cycle time': '3 s', 'site': 'Sao Paulo', 'src': 'sap', 'type': 'raw_materials'}",sao_paulo_product
3,Finished goods,SPPFG978,,['isa95:unit'],"{'cycle time': '3 s', 'site': 'Sao Paulo', 'src': 'sap', 'type': 'finished_goods'}",sao_paulo_product
4,Cold Store,sao_paulo_cold_store,,['isa95:area'],"{'Max temperature': '-25 degrees', 'Max capability': '4000L', 'site': 'Sao Paulo', 'src': 'sap', 'type': 'cold_store'}",sao_paulo
5,Receiving & Raw Materials,sao_paulo_receiving_and_raw,,['isa95:area'],"{'site': 'Sao Paulo', 'src': 'sap', 'type': 'receiving_&_raw_materials'}",sao_paulo
6,Liquid Storage,sao_paulo_receiving_and_raw_liquid_storage,,['isa95:storage_zone'],"{'Inventory size': '8000L', 'site': 'Sao Paulo', 'src': 'sap', 'type': 'liquid_storage'}",sao_paulo_receiving_and_raw
7,Dry Storage,sao_paulo_receiving_and_raw_dry_storage,,['isa95:storage_zone'],"{'Inventory size': '25x50', 'Temperature': '1-7 degrees', 'site': 'Sao Paulo', 'src': 'sap', 'type': 'dry_storage'}",sao_paulo_receiving_and_raw
8,Production,sao_paulo_production,,['isa95:area'],"{'site': 'Sao Paulo', 'src': 'sap', 'type': 'production'}",sao_paulo
9,Extrusion Line,sao_paulo_production_extrude,,['isa95:production_line'],"{'site': 'Sao Paulo', 'src': 'sap', 'type': 'extrusion_line'}",sao_paulo_production
10,Hardening Tunnel,SPPEHT947,,"['function:hardening', 'isa95:unit']","{'Panel house thickness of polyurethane panels ( mm (inch) )': '125 (4.9)', 'Container house thickness of polyurethane panels ( mm (inch) )': '120 (4.7)', 'cycle time': '3 s', 'site': 'Sao Paulo', 'src': 'sap', 'type': 'hardening_tunnel'}",sao_paulo_production_extrude
11,Cartoning,SPPEC386,,"['function:carton', 'isa95:unit']","{'Model': 'SA-380CDF', 'Film width': 'Max. 300 mm', 'Box length': '120 - 400 mm', 'Box width': '50 - 200 mm', 'Packing speed': 'max 80 boxes/min', 'Power': '220V 50/60HZ 2.6KW', 'Machine dimensions': '3770x720x1450', 'Machine weight': '600kg', 'cycle time': '3 s', 'site': 'Sao Paulo', 'src': 'sap', 'type': 'cartoning'}",sao_paulo_production_extrude
12,Worktable,SPPEW168,,"['function:worktableTransport', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Sao Paulo', 'src': 'sap', 'type': 'worktable'}",sao_paulo_production_extrude
13,Tray Tunnel Extruder,SPPEWSTTE981,,"['function:tunnelExtrude', 'isa95:unit']","{'No. of sprockets / vertical pitch ( mm (inch) )': '9 / 180 (7)', 'Conveyor pitch ( mm (inch) )': '50 (2)', 'Tray dimension ( mm (inch) )': '300 x 345 (11.8 x 13.6)', 'Total number of trays / inside tunnel': '839/ 802', 'Total installed power (incl. fans) (kW (HP))': '25 (33)', 'cycle time': '3 s', 'site': 'Sao Paulo', 'src': 'sap', 'type': 'tray_tunnel_extruder'}",SPPEW168
14,Wrapping,SPPEW729,,"['isa95:unit', 'function:wrap']","{'Machine type': 'rotary', 'Output, bricks/min': 'up to 50', 'The dosing interval, ml1': '135-240', 'The dosing accuracy, % ': '± 6', 'Block size, mm2': '100x60x35÷40', 'Wrapping material': 'parchment paper, aluminum foil laminate', 'Roll width, mm': '180-210', 'Roll external diameter, mm up to': '400', 'Roll core internal diameter, mm': '60-70', 'Rated power input, kVA': '4,5', 'Voltage, V': '230/400 +-10% AC', 'Frequency, Hz': '50/60', 'Dimensions (L x W x H), mm': '3170 x 1470 x 1540', 'Weight, kg': '1450', 'cycle time': '3 s', 'site': 'Sao Paulo', 'src': 'sap', 'type': 'wrapping'}",sao_paulo_production_extrude
15,Filling Line,sao_paulo_production_fill,,['isa95:production_line'],"{'Connections': '3 ~ 400 V, 50-60 Hz', 'Total consumption': 'Depending on filler setup', 'Main breaker': '50 A', 'Supply pressure': '6 bar', 'Total consumption VN': 'Depending on filler setup', 'Consumption (during cleaning)': '50 l/min', 'site': 'Sao Paulo', 'src': 'sap', 'type': 'filling_line'}",sao_paulo_production
16,Dry Topping,SPPFDT109,,"['function:applyTopping', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Sao Paulo', 'src': 'sap', 'type': 'dry_topping'}",sao_paulo_production_fill
17,Wet Topping,SPPFWT265,,"['function:topping', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Sao Paulo', 'src': 'sap', 'type': 'wet_topping'}",sao_paulo_production_fill
18,Chocolate Spray,SPPFCS463,,"['function:coatSpray', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Sao Paulo', 'src': 'sap', 'type': 'chocolate_spray'}",sao_paulo_production_fill
19,Cone Dispensing,SPPFCD474,,"['function:dispenseCone', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Sao Paulo', 'src': 'sap', 'type': 'cone_dispensing'}",sao_paulo_production_fill
20,Cartoning,SPPFC927,,"['function:carton', 'isa95:unit']","{'Model': 'SA-380CDF', 'Film width': 'Max. 300 mm', 'Box length': '120 - 400 mm', 'Box width': '50 - 200 mm', 'Packing speed': 'max 80 boxes/min', 'Power': '220V 50/60HZ 2.6KW', 'Machine dimensions': '3770x720x1450', 'Machine weight': '600kg', 'cycle time': '3 s', 'site': 'Sao Paulo', 'src': 'sap', 'type': 'cartoning'}",sao_paulo_production_fill
21,Filling Valves,SPPFFV485,,"['function:fill', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Sao Paulo', 'src': 'sap', 'type': 'filling_valves'}",sao_paulo_production_fill
22,Wrapping,SPPFW693,,"['isa95:unit', 'function:wrap']","{'Machine type': 'rotary', 'Output, bricks/min': 'up to 50', 'The dosing interval, ml1': '135-240', 'The dosing accuracy, % ': '± 6', 'Block size, mm2': '100x60x35÷40', 'Wrapping material': 'parchment paper, aluminum foil laminate', 'Roll width, mm': '180-210', 'Roll external diameter, mm up to': '400', 'Roll core internal diameter, mm': '60-70', 'Rated power input, kVA': '4,5', 'Voltage, V': '230/400 +-10% AC', 'Frequency, Hz': '50/60', 'Dimensions (L x W x H), mm': '3170 x 1470 x 1540', 'Weight, kg': '1450', 'cycle time': '3 s', 'site': 'Sao Paulo', 'src': 'sap', 'type': 'wrapping'}",sao_paulo_production_fill
23,Crimping,SPPFC370,,"['isa95:unit', 'function:crimp']","{'cycle time': '3 s', 'site': 'Sao Paulo', 'src': 'sap', 'type': 'crimping'}",sao_paulo_production_fill
24,Sleeve Dispensing,SPPFSD585,,"['function:sleeveDispense', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Sao Paulo', 'src': 'sap', 'type': 'sleeve_dispensing'}",sao_paulo_production_fill
25,Coding,SPPFC534,,"['function:coding', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Sao Paulo', 'src': 'sap', 'type': 'coding'}",sao_paulo_production_fill
26,Transfer System,SPPFTS185,,"['function:transfer', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Sao Paulo', 'src': 'sap', 'type': 'transfer_system'}",sao_paulo_production_fill
27,Lid Dispensing,SPPFLD988,,"['function:dispense', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Sao Paulo', 'src': 'sap', 'type': 'lid_dispensing'}",sao_paulo_production_fill
28,Pasteurization and Homogenization,sao_paulo_production_pasteur,,['isa95:process_cell'],"{'Function': ' Ice cream batch process mix plant', 'Year of manufacture': ' 1996', 'Capacity': '500 litres/per hour', 'Electrics': ' 380V/3 Phase/50 Hz', 'Overall installed power': '10,7 kW', 'Length': '395 cm', 'Width': '150 cm', 'Height': '210 cm', 'Weight': '2,150 kgs', 'site': 'Sao Paulo', 'src': 'sap', 'type': 'pasteurization_and_homogenization'}",sao_paulo_production
29,Balance Tank,SPPPT241,,"['function:balanceTank', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Sao Paulo', 'src': 'sap', 'type': 'balance_tank'}",sao_paulo_production_pasteur
30,Plate Heat Exchanger,SPPPHE637,,"['function:heatExchange', 'isa95:unit']","{'cycle time': '3 s', 'site': 'Sao Paulo', 'src': 'sap', 'type': 'plate_heat_exchanger'}",sao_paulo_production_pasteur
31,Freezing and Ingredient Feeding,sao_paulo_production_fri,,"['isa95:production_line', 'isa95:process_cell']","{'site': 'Sao Paulo', 'src': 'sap', 'type': 'freezing_and_ingredient_feeding'}",sao_paulo_production
32,Ingredient Doser,SPPFD232,,"['function:dosing', 'isa95:unit']","{'Throughput of ingredients:': '10 to 200 litres/hour', 'Product flow:': '100 to 2,000 litres/hour', 'Maximum ingredient size:': '12 mm', 'cycle time': '3 s', 'site': 'Sao Paulo', 'src': 'sap', 'type': 'ingredient_doser'}",sao_paulo_production_fri
33,In-line Mixer,SPPFD232_inline_mixer,,['isa95:equipment_module'],"{'site': 'Sao Paulo', 'src': 'sap', 'type': 'in-line_mixer'}",SPPFD232
34,Ice Cream Feed,SPPFD232_feed,,['isa95:equipment_module'],"{'site': 'Sao Paulo', 'src': 'sap', 'type': 'ice_cream_feed'}",SPPFD232
35,Funnel,SPPFD232_funnel,,['isa95:equipment_module'],"{'site': 'Sao Paulo', 'src': 'sap', 'type': 'funnel'}",SPPFD232
36,Lamella Pump,SPPFD232_lamella_pump,,['isa95:equipment_module'],"{'site': 'Sao Paulo', 'src': 'sap', 'type': 'lamella_pump'}",SPPFD232
